,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.0,6.0,33.0,13.0,23.0,21.0,18.0,16
Expenses,25.0,10.0,36.0,16.0,25.0,24.0,26.0,24
Operating Profit,6.0,-4.0,-3.0,-3.0,-2.0,-3.0,-7.0,-8
OPM %,19.0,-57.0,-10.0,-20.0,-9.0,-13.0,-39.0,-51
Other Income,14.0,93.0,23.0,9.0,27.0,46.0,35.0,28
Interest,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Depreciation,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0
Profit before tax,16.0,89.0,18.0,5.0,24.0,43.0,27.0,19
Tax %,6.0,19.0,4.0,10.0,109.0,23.0,23.0,
Net Profit,15.0,72.0,18.0,5.0,-2.0,33.0,21.0,15
EPS in Rs,22.3,108.83,26.98,7.38,-3.4,49.65,31.47,22.50
