,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99
DIIs,3.0,3.0,2.99,2.99,2.99,2.99,2.99,1.14,0.44
Public,24.01,24.01,24.02,24.02,24.02,24.02,24.02,25.86,26.57
No. of Shareholders,7583.0,7278.0,6070.0,5921.0,5840.0,5745.0,5611.0,5448.0,5486.0
