,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4
Reserves,172,198,209,219,211,238,236,228,227
Borrowings,58,49,65,113,121,123,124,132,165
Other Liabilities,77,78,152,146,161,148,147,151,209
Total Liabilities,311,329,431,481,496,513,511,515,605
Fixed Assets,134,158,163,182,188,182,215,226,236
CWIP,1,2,14,5,1,1,2,4,14
Investments,0,0,0,0,0,0,0,0,0
Other Assets,177,169,254,295,307,330,294,284,355
Total Assets,311,329,431,481,496,513,511,515,605
