,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.04,-1.43,-4.1
Cash from Investing Activity,-0.22,-0.06,-0.19
Cash from Financing Activity,1.64,0.19,5.62
Net Cash Flow,1.38,-1.3,1.33
