,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,272,258.0,399.0,385.0,326.0,204.0,274.0,460.0,513.0,565
Expenses,241,178.0,279.0,280.0,254.0,158.0,239.0,409.0,455.0,495
Operating Profit,31,80.0,120.0,106.0,72.0,45.0,35.0,51.0,58.0,70
OPM %,11,31.0,30.0,27.0,22.0,22.0,13.0,11.0,11.0,12
Other Income,3,2.0,4.0,14.0,3.0,29.0,3.0,3.0,29.0,5
Interest,10,40.0,54.0,59.0,39.0,34.0,32.0,28.0,25.0,26
Depreciation,11,29.0,55.0,52.0,30.0,24.0,21.0,16.0,13.0,15
Profit before tax,13,15.0,14.0,8.0,6.0,16.0,-15.0,9.0,48.0,34
Tax %,31,33.0,23.0,-1.0,20.0,74.0,20.0,29.0,24.0,
Net Profit,9,10.0,11.0,8.0,5.0,3.0,-13.0,6.0,36.0,26
EPS in Rs,,0.38,0.42,0.3,0.2,0.15,-0.49,0.24,1.26,0.87
