,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,28,24,-29,23,37,19,22,-4,-42,-40,-4,-1
Cash from Investing Activity,-10,-18,-2,-22,-18,-16,-18,-5,0,1,0,0
Cash from Financing Activity,-18,-1,22,-1,-18,-4,-6,9,42,39,3,1
Net Cash Flow,0,4,-8,0,1,0,-2,0,0,0,-1,0
