,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.0,6.0,6.0,15.0,15.0,20.4,20.4,20.4,61.2,61.2,61.2,61.2
Reserves,0.1,0.71,2.09,8.63,13.06,34.69,43.18,55.28,12.34,-1.97,-1.74,-2.23
Borrowings,40.89,55.06,59.6,63.5,92.95,123.61,164.99,174.19,175.81,197.88,146.42,142.45
Other Liabilities,4.2,10.99,12.55,26.27,25.99,26.79,68.82,83.45,104.16,101.82,57.72,57.95
Total Liabilities,51.19,72.76,80.24,113.4,147.0,205.49,297.39,333.32,353.51,358.93,263.6,259.37
Fixed Assets,1.53,1.54,1.99,2.94,3.42,5.65,6.57,12.16,9.6,2.89,2.06,1.81
CWIP,0.0,0.0,0.0,0.0,0.59,0.0,4.92,0.0,0.0,0.0,0.0,0.0
Investments,0.52,0.52,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,49.14,70.7,77.73,109.94,142.99,199.84,285.9,321.16,343.91,356.04,261.54,257.56
Total Assets,51.19,72.76,80.24,113.4,147.0,205.49,297.39,333.32,353.51,358.93,263.6,259.37
