,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Mar 2023,TTM
Sales,344.0,977.0,1324.0,973.0,1049.0,979
Expenses,14.0,34.0,38.0,195.0,1287.0,7
Operating Profit,330.0,943.0,1286.0,778.0,-238.0,973
OPM %,96.0,97.0,97.0,80.0,-23.0,99
Other Income,8.0,8.0,10.0,3.0,6.0,7
Interest,116.0,328.0,429.0,0.0,41.0,46
Depreciation,93.0,275.0,379.0,0.0,0.0,0
Profit before tax,129.0,348.0,487.0,781.0,-274.0,934
Tax %,11.0,29.0,22.0,0.0,-1.0,
Net Profit,114.0,248.0,379.0,780.0,-276.0,931
EPS in Rs,25.8,24.84,31.55,8.57,-3.03,10.22
