,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.81,12.32,16.17,24.11,22.95,17.73,28.82,17.03,15.64,6.6,2.68,0.86,1.03
Expenses,13.41,13.04,16.29,23.52,22.77,19.53,30.39,21.23,18.34,8.21,3.6,1.03,1.03
Operating Profit,0.4,-0.72,-0.12,0.59,0.18,-1.8,-1.57,-4.2,-2.7,-1.61,-0.92,-0.17,0.0
OPM %,2.9,-5.84,-0.74,2.45,0.78,-10.15,-5.45,-24.66,-17.26,-24.39,-34.33,-19.77,
Other Income,0.61,0.55,1.01,0.77,0.81,1.04,1.22,0.52,0.42,-0.13,-0.13,0.17,0.26
Interest,0.35,0.27,0.16,0.15,0.17,0.24,0.43,0.43,0.29,0.14,0.11,0.06,0.08
Depreciation,0.27,0.27,0.24,0.39,0.49,0.47,0.49,0.48,0.39,0.3,0.15,0.04,0.04
Profit before tax,0.39,-0.71,0.49,0.82,0.33,-1.47,-1.27,-4.59,-2.96,-2.18,-1.31,-0.1,0.14
Tax %,46.15,-7.04,12.24,25.61,15.15,-5.44,-3.94,14.6,1.01,0.0,-0.76,-20.0,
Net Profit,0.21,-0.76,0.43,0.61,0.28,-1.54,-1.32,-3.91,-2.94,-2.18,-1.32,-0.12,0.12
EPS in Rs,0.49,-1.77,1.0,1.42,0.65,-3.58,-3.07,-9.09,-6.84,-5.07,-3.07,-0.28,0.28
