,2012-06-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,119.0,19.0,17.0,112.0,235.0,136.0,217.0,534.0,35.0,1.0,0.0,0.0
Expenses,134.0,102.0,68.0,107.0,223.0,138.0,206.0,513.0,99.0,8.0,1.0,24.0
Operating Profit,-14.0,-83.0,-51.0,5.0,12.0,-2.0,11.0,21.0,-64.0,-7.0,-0.0,-24.0
OPM %,-12.0,-430.0,-305.0,5.0,5.0,-2.0,5.0,4.0,-184.0,-740.0,-132.0,-13350.0
Other Income,1.0,1.0,-14.0,109.0,2.0,1.0,0.0,75.0,1.0,1.0,1.0,0.0
Interest,33.0,46.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Depreciation,17.0,70.0,15.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,-64.0,-198.0,-79.0,112.0,13.0,-3.0,10.0,94.0,-65.0,-7.0,-1.0,-25.0
Tax %,-1.0,-0.0,-0.0,-6.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Profit,-64.0,-198.0,-79.0,118.0,13.0,-3.0,10.0,94.0,-65.0,-7.0,-1.0,-25.0
EPS in Rs,-19.81,-60.91,-24.39,18.83,1.96,-0.51,1.19,10.93,-7.07,-0.77,-0.07,-2.72
