,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2020-09-01
Promoters,16.32,21.23,21.23,24.95,24.95
FIIs,0.23,0.87,1.45,1.42,1.42
DIIs,0.0,0.2,0.49,0.54,0.0
Public,83.45,77.7,76.83,73.08,73.63
No. of Shareholders,12705.0,11565.0,13267.0,13406.0,13604.0
