,2012-06-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,33,33,33,63,66,66,86,86,91,91,91,8
Reserves,-43,-246,-326,-193,-179,-177,-172,-77,-122,-128,-129,-9
Borrowings,253,100,282,157,157,156,90,8,17,38,38,29
Other Liabilities,87,289,73,43,55,76,202,235,75,54,55,2
Total Liabilities,330,175,62,70,100,122,207,252,61,55,55,29
Fixed Assets,171,101,34,32,31,30,29,28,27,26,25,24
CWIP,1,1,1,0,0,0,0,2,2,2,2,2
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,158,73,26,37,69,92,177,222,32,27,28,4
Total Assets,330,175,62,70,100,122,207,252,61,55,55,29
