,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,21,21,21,31,31,31,31,31,31,31,31,31,31.0
Reserves,513,546,565,600,612,865,821,846,834,892,1120,1002,1100.0
Preference Capital,11,11,11,0,0,0,0,0,0,0,0,0,
Borrowings,136,185,198,368,401,675,542,491,267,232,167,89,107.0
Other Liabilities,357,383,392,517,486,394,384,418,367,309,215,113,114.0
Total Liabilities,1026,1135,1175,1516,1531,1966,1779,1787,1500,1464,1535,1234,1352.0
Fixed Assets,485,543,537,726,860,836,752,776,756,716,541,551,567.0
CWIP,39,2,18,39,33,10,15,14,29,22,20,23,20.0
Investments,49,74,141,181,195,349,281,329,188,286,505,232,349.0
Other Assets,453,516,479,571,443,771,732,668,528,440,469,429,416.0
Total Assets,1026,1135,1175,1516,1531,1966,1779,1787,1500,1464,1535,1234,1352.0
