,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,0.01,5.61,5.61
Reserves,0.56,1.22,1.97,2.45,4.87,19.67,21.88
Borrowings,0.07,0.0,0.17,1.61,5.8100000000000005,2.88,2.19
Other Liabilities,3.16,6.69,8.64,11.46,10.27,5.76,8.96
Total Liabilities,3.8,7.92,10.79,15.53,20.96,33.92,38.64
Fixed Assets,0.18,0.21,0.0,1.59,3.87,3.98,4.76
CWIP,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.62,7.71,10.79,13.94,17.09,29.93,33.88
Total Assets,3.8,7.92,10.79,15.53,20.96,33.92,38.64
