,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,6.41,14.64,15.1,14.35,19.34,32.89
Expenses,6.23,14.31,14.2,13.07,15.64,25.69
Operating Profit,0.18,0.33,0.9,1.28,3.7,7.2
OPM %,2.81,2.25,5.96,8.92,19.13,21.89
Other Income,0.32,0.66,0.33,0.09,0.25,0.3
Interest,0.01,0.01,0.07,0.14,0.75,1.09
Depreciation,0.04,0.05,0.13,0.19,0.2,0.2
Profit before tax,0.45,0.93,1.03,1.04,3.0,6.21
Tax %,31.11,29.03,27.18,29.81,28.33,28.66
Net Profit,0.32,0.66,0.75,0.74,2.14,4.44
EPS in Rs,320.0,660.0,750.0,740.0,2140.0,7.92
