,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.45,7.39,1.73,6.54,2.89,7.09,1.56,2.13,5.35,6.38,1.4,4.07
Expenses,8.3,6.7,1.62,4.84,2.82,6.4,2.34,2.26,3.03,5.54,2.05,4.84
Operating Profit,2.15,0.69,0.11,1.7,0.07,0.69,-0.78,-0.13,2.32,0.84,-0.65,-0.77
OPM %,20.57,9.34,6.36,25.99,2.42,9.73,-50.0,-6.1,43.36,13.17,-46.43,-18.92
Other Income,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Interest,0.12,0.06,0.09,0.1,0.11,0.09,0.09,0.12,0.11,0.05,0.12,0.18
Depreciation,0.52,0.5,0.47,0.48,0.48,0.5,0.46,0.47,0.48,0.47,0.42,0.43
Profit before tax,1.53,0.15,-0.43,1.14,-0.51,0.12,-1.32,-0.71,1.74,0.33,-1.18,-1.37
Tax %,0.0,300.0,0.0,0.0,0.0,141.67,0.0,0.0,0.0,48.48,0.0,0.0
Net Profit,1.54,-0.3,-0.44,1.14,-0.52,-0.05,-1.32,-0.7,1.74,0.17,-1.18,-1.37
EPS in Rs,4.12,-0.8,-1.18,3.05,-1.39,-0.13,-3.53,-1.87,4.65,0.45,-3.15,-3.66
