,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.00,0.00,0.00,0.00,0.00,11.89,11.99,20.92,26.17,18.24,15.4,17.20
Expenses,0.0,0.03,0.02,0.02,0.05,0.05,10.81,10.88,19.15,22.74,15.67,13.12,15.46
Operating Profit,0.0,-0.03,-0.02,-0.02,-0.05,-0.05,1.08,1.11,1.77,3.43,2.57,2.28,1.74
OPM %,,,,,,,9.08,9.26,8.46,13.11,14.09,14.81,10.12
Other Income,0.0,0.00,0.06,0.06,0.06,0.06,0.05,0.05,0.1,0.09,0.06,0.04,0.04
Interest,0.0,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.13,0.37,0.39,0.4,0.46
Depreciation,0.0,0.00,0.00,0.00,0.00,0.00,1.09,1.03,1.01,1.94,1.93,1.88,1.80
Profit before tax,0.0,-0.03,0.04,0.04,0.01,0.01,0.00,0.1,0.73,1.21,0.31,0.04,-0.48
Tax %,,0.00,0.00,25.00,200.00,100.00,,20.0,41.1,38.02,54.84,375.0,
Net Profit,0.0,-0.03,0.04,0.02,0.00,-0.01,0.00,0.08,0.43,0.75,0.14,-0.1,-0.64
EPS in Rs,,-0.08,0.10,0.05,0.00,-0.03,0.00,0.21,1.15,2.0,0.37,-0.27,-1.71
