,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,2215.0,2484.0,2420.0,2660.0,3535.0,4076.0
Expenses,2075.0,2318.0,2197.0,2479.0,3247.0,3746.0
Operating Profit,140.0,166.0,223.0,182.0,287.0,330.0
OPM %,6.0,7.0,9.0,7.0,8.0,8.0
Other Income,28.0,9.0,9.0,15.0,13.0,32.0
Interest,37.0,43.0,63.0,73.0,80.0,98.0
Depreciation,19.0,16.0,37.0,40.0,42.0,45.0
Profit before tax,112.0,116.0,132.0,84.0,178.0,219.0
Tax %,35.0,36.0,31.0,26.0,27.0,26.0
Net Profit,72.0,75.0,91.0,62.0,130.0,161.0
EPS in Rs,40.8,14.03,17.1,11.57,24.47,28.81
