,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-48,48,,182,-72,-75
Cash from Investing Activity,-35,-56,,-56,-156,-199
Cash from Financing Activity,113,-59,,-122,231,271
Net Cash Flow,30,-66,,3,3,-2
