,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,18,66,53,53,53,56,78.0
Reserves,376,403,485,549,674,893,1162.0
Preference Capital,4,0,13,0,0,0,
Borrowings,584,563,575,680,1026,1387,1363.0
Other Liabilities,195,145,409,277,348,567,574.0
Total Liabilities,1173,1177,1522,1559,2101,2903,3177.0
Fixed Assets,86,81,202,212,219,276,304.0
CWIP,4,5,4,2,7,13,3.0
Investments,0,0,0,2,2,4,9.0
Other Assets,1082,1091,1316,1343,1873,2610,2860.0
Total Assets,1173,1177,1522,1559,2101,2903,3177.0
