,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16.21,16.21,16.21,16.21,16.21,16.21
Reserves,1.45,1.57,1.45,0.55,0.22,-0.6900000000000001
Borrowings,0.0,0.28,0.0,0.0,3.1,4.06
Other Liabilities,-0.01,0.01,0.04,0.09,0.01,0.01
Total Liabilities,17.65,18.07,17.7,16.85,19.54,19.59
Fixed Assets,1.67,1.67,1.67,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
Other Assets,15.98,16.4,16.03,16.85,19.54,18.89
Total Assets,17.65,18.07,17.7,16.85,19.54,19.59
