,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.71,18.12,15.19,27.97,38.89,37.37
Expenses,10.18,14.26,12.12,23.22,32.63,31.39
Operating Profit,1.53,3.86,3.07,4.75,6.26,5.98
OPM %,13.07,21.3,20.21,16.98,16.1,16.00
Other Income,0.15,0.05,0.04,0.05,0.29,0.27
Interest,0.04,0.19,0.19,0.21,0.29,0.21
Depreciation,0.43,0.62,0.77,0.48,0.54,0.62
Profit before tax,1.21,3.1,2.15,4.11,5.72,5.42
Tax %,18.18,26.45,26.51,27.49,24.48,
Net Profit,0.98,2.29,1.59,2.99,4.32,4.11
EPS in Rs,32.67,76.33,53.0,1.98,2.86,2.72
