,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1.06,2.58,1.74,-1.62,2.54
Cash from Investing Activity,-0.16,-3.93,-1.85,-3.91,-3.63
Cash from Financing Activity,-0.51,0.8,0.31,9.64,0.78
Net Cash Flow,0.39,-0.54,0.2,4.11,-0.31
