,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.15,0.15,0.15,7.55,7.55,7.55
Reserves,6.15,8.43,10.16,15.97,20.29,22.26
Borrowings,0.17,1.46,1.96,1.58,2.66,3.42
Other Liabilities,1.64,3.55,2.54,4.52,4.94,5.8
Total Liabilities,8.11,13.59,14.81,29.62,35.44,39.03
Fixed Assets,1.82,5.15,6.25,6.98,6.65,14.31
CWIP,0.0,0.0,0.0,2.72,6.42,0.0
Investments,0.02,0.02,0.02,0.03,0.03,0.03
Other Assets,6.27,8.42,8.54,19.89,22.34,24.69
Total Assets,8.11,13.59,14.81,29.62,35.44,39.03
