,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,10.25,11.46,16.51,21.13,17.76,19.61
Expenses,8.47,9.11,14.11,17.33,15.3,16.09
Operating Profit,1.78,2.35,2.4,3.8,2.46,3.52
OPM %,17.37,20.51,14.54,17.98,13.85,17.95
Other Income,0.04,0.01,0.04,0.1,0.19,0.08
Interest,0.11,0.09,0.11,0.17,0.12,0.09
Depreciation,0.41,0.22,0.25,0.26,0.27,0.35
Profit before tax,1.3,2.05,2.08,3.47,2.26,3.16
Tax %,26.15,28.78,26.44,25.65,22.57,25.63
Net Profit,0.97,1.46,1.52,2.57,1.75,2.36
EPS in Rs,32.33,1.32,1.01,1.7,1.16,1.56
