,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,71.0,78.0,91.0,136.0,215.0,375.0,478.0
Expenses,53.0,60.0,71.0,98.0,147.0,263.0,343.0
Operating Profit,18.0,18.0,20.0,38.0,68.0,112.0,135.0
OPM %,25.0,24.0,22.0,28.0,32.0,30.0,28.0
Other Income,0.0,0.0,0.0,0.0,1.0,2.0,3.0
Interest,6.0,5.0,7.0,20.0,20.0,23.0,23.0
Depreciation,7.0,6.0,8.0,21.0,21.0,28.0,28.0
Profit before tax,5.0,8.0,5.0,-2.0,28.0,63.0,88.0
Tax %,41.0,23.0,21.0,18.0,30.0,30.0,25.0
Net Profit,3.0,6.0,4.0,-2.0,20.0,44.0,66.0
EPS in Rs,2.21,3.75,2.43,-0.79,11.09,6.74,10.04
