,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,25,17,17,39,44,60,64
Cash from Investing Activity,-50,-51,-78,-43,-21,-52,-20
Cash from Financing Activity,26,43,47,5,-19,-1,-18
Net Cash Flow,1,9,-13,1,3,7,26
