,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,184.0,165.0,122.0,101.0,104.0,96.0,121.0,141.0,92.0,75.0,117.0,134.0
Expenses,164.0,152.0,118.0,99.0,100.0,91.0,116.0,134.0,94.0,73.0,112.0,125.0
Operating Profit,21.0,14.0,4.0,2.0,5.0,5.0,5.0,7.0,-3.0,2.0,5.0,9.0
OPM %,11.0,8.0,3.0,2.0,5.0,5.0,4.0,5.0,-3.0,2.0,4.0,7.0
Other Income,1.0,6.0,0.0,1.0,0.0,5.0,3.0,3.0,7.0,2.0,2.0,2.0
Interest,12.0,11.0,8.0,9.0,8.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0
Depreciation,10.0,10.0,10.0,10.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
Profit before tax,1.0,-2.0,-15.0,-17.0,-8.0,1.0,-1.0,2.0,-3.0,-2.0,0.0,5.0
Tax %,41.0,31.0,5.0,7.0,1.0,9.0,87.0,-91.0,11.0,-8.0,20.0,-7.0
Net Profit,0.0,-1.0,-14.0,-16.0,-8.0,1.0,-0.0,4.0,-2.0,-2.0,0.0,5.0
EPS in Rs,0.47,-0.98,-16.08,-16.18,-8.85,1.0,-0.13,3.8,-2.53,-2.4,0.35,5.37
