,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,9,9,9,9,9,9,9,9,9,9,9,9
Reserves,41,41,27,12,9,26,25,28,24,23,31,35
Borrowings,71,57,52,55,39,32,27,20,17,16,16,9
Other Liabilities,37,41,41,36,27,37,42,48,38,38,38,30
Total Liabilities,158,147,129,113,84,104,104,104,89,86,94,84
Fixed Assets,77,73,64,55,40,57,56,53,52,47,56,54
CWIP,4,3,3,2,2,1,0,0,0,0,0,0
Investments,1,1,1,1,1,3,2,1,0,1,5,1
Other Assets,77,70,60,54,41,43,46,50,37,38,33,29
Total Assets,158,147,129,113,84,104,104,104,89,86,94,84
