,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-19,-17,34,32,147,-7,3,170,90
Cash from Investing Activity,-16,-32,-15,-18,-19,-28,-35,-703,429
Cash from Financing Activity,67,35,-29,-1,-83,90,-6,440,-170
Net Cash Flow,32,-15,-10,14,45,56,-37,-93,350
