,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,801.0,806.0,955.0,925.0,933.0,966.0,994.0,1121.0,1190.0,1253.0,1284.0,1409.0
Expenses,743.0,745.0,859.0,863.0,872.0,914.0,941.0,1061.0,1119.0,1171.0,1213.0,1324.0
Operating Profit,58.0,60.0,97.0,62.0,61.0,52.0,53.0,60.0,72.0,82.0,71.0,85.0
OPM %,7.0,7.0,10.0,7.0,7.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0
Other Income,9.0,4.0,4.0,7.0,7.0,13.0,10.0,11.0,11.0,14.0,9.0,10.0
Interest,13.0,15.0,15.0,16.0,17.0,19.0,20.0,20.0,21.0,22.0,23.0,24.0
Depreciation,22.0,24.0,27.0,28.0,30.0,34.0,38.0,42.0,46.0,56.0,52.0,55.0
Profit before tax,32.0,26.0,58.0,25.0,22.0,13.0,5.0,9.0,16.0,17.0,5.0,16.0
Tax %,29.0,30.0,21.0,20.0,22.0,10.0,24.0,27.0,17.0,-54.0,26.0,12.0
Net Profit,23.0,18.0,46.0,20.0,17.0,11.0,4.0,6.0,13.0,27.0,4.0,15.0
EPS in Rs,1124.69,400.31,1016.36,6.31,1.44,0.98,0.27,0.55,1.12,2.23,0.32,1.22
