,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.45,3.23,3.23,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
Reserves,0.07,0.32,0.35,0.73,0.27,0.32,0.38,0.39,0.45,0.14,0.02,0.2,0.25
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.0,0.0
Other Liabilities,0.04,0.02,0.03,0.04,0.02,0.03,0.03,0.02,0.04,0.01,0.01,0.04,0.03
Total Liabilities,3.56,3.5700000000000003,3.61,3.63,3.15,3.21,3.27,3.28,3.37,3.03,2.89,3.1,3.14
Fixed Assets,0.0,0.0,0.0,0.01,0.0,0.0,0.26,0.25,0.25,0.24,0.24,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.23,1.23,1.23,1.74,1.6,1.6,1.39,1.34,1.26,0.91,0.92,1.72,1.89
Other Assets,2.33,2.34,2.38,1.88,1.55,1.61,1.62,1.69,1.86,1.88,1.73,1.38,1.25
Total Assets,3.56,3.5700000000000003,3.61,3.63,3.15,3.21,3.27,3.28,3.37,3.03,2.89,3.1,3.14
