,2012-06-01,2013-06-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,161,161,161,161,163,164,165,166,166,166,166,166
Reserves,1758,1778,2056,2140,2144,2420,2323,-1464,-2791,-6979,-7980,-9242
Borrowings,2400,3651,4056,5097,6022,6265,6646,7736,8655,8844,9731,10696
Other Liabilities,317,628,686,669,1041,988,1531,1642,2016,2346,1901,2111
Total Liabilities,4637,6218,6959,8068,9370,9838,10665,8080,8046,4377,3818,3731
Fixed Assets,3430,5058,5396,5378,6465,6323,6050,5836,5672,1621,1370,1312
CWIP,311,20,154,97,1,1,2,0,0,0,0,0
Investments,27,1,11,0,0,0,0,3,4,6,0,0
Other Assets,868,1139,1398,2593,2905,3514,4612,2241,2369,2750,2449,2419
Total Assets,4637,6218,6959,8068,9370,9838,10665,8080,8046,4377,3818,3731
