,2022-03-01,2023-03-01,2023-09-01
Equity Capital,69,69,70
Reserves,1696,2025,2139
Borrowings,1208,971,1227
Other Liabilities,2341,2416,2374
Total Liabilities,5314,5482,5809
Fixed Assets,2734,3067,3223
CWIP,222,205,198
Investments,4,1,1
Other Assets,2353,2208,2387
Total Assets,5314,5482,5809
