,Mar 2022,Mar 2023,TTM
Sales,3748.0,6417.0,6228
Expenses,3105.0,5582.0,5306
Operating Profit,643.0,836.0,922
OPM %,17.0,13.0,15
Other Income,12.0,49.0,-12
Interest,30.0,95.0,109
Depreciation,92.0,173.0,195
Profit before tax,533.0,617.0,606
Tax %,44.0,29.0,
Net Profit,300.0,437.0,399
EPS in Rs,25.02,28.43,24.97
