,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1034.0,1494.0,1758.0,1601.0,1566.0,1502.0,1560.0
Expenses,926.0,1320.0,1558.0,1359.0,1345.0,1295.0,1307.0
Operating Profit,108.0,174.0,200.0,241.0,221.0,207.0,252.0
OPM %,10.0,12.0,11.0,15.0,14.0,14.0,16.0
Other Income,10.0,13.0,20.0,5.0,12.0,4.0,-32.0
Interest,14.0,20.0,25.0,25.0,26.0,29.0,30.0
Depreciation,28.0,41.0,41.0,43.0,48.0,47.0,57.0
Profit before tax,76.0,126.0,154.0,178.0,159.0,136.0,133.0
Tax %,154.0,19.0,28.0,27.0,41.0,32.0,39.0
Net Profit,-41.0,102.0,111.0,130.0,95.0,93.0,82.0
EPS in Rs,0.45,6.74,8.0,8.4,6.35,5.32,4.9
