,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,235.12,130.3,469.99,612.95,388.45,666.5,1185.55,1026.36,329.92,810.93,1005.94,482.95,361.57
Expenses,231.13,127.35,467.51,606.61,385.05,656.44,1172.68,1013.55,326.73,800.8,993.03,479.3,359.42
Operating Profit,3.99,2.95,2.48,6.34,3.4,10.06,12.87,12.81,3.19,10.13,12.91,3.65,2.15
OPM %,1.7,2.26,0.53,1.03,0.88,1.51,1.09,1.25,0.97,1.25,1.28,0.76,0.59
Other Income,-0.18,1.02,3.04,1.52,2.09,-1.57,4.85,0.57,2.43,1.65,2.6,3.54,2.76
Interest,0.87,1.81,0.77,0.77,0.41,1.03,1.5,1.59,0.69,1.98,2.53,0.63,0.58
Depreciation,0.6,0.6,0.63,0.47,0.46,0.49,0.48,0.36,0.37,0.37,0.35,0.3,0.32
Profit before tax,2.34,1.56,4.12,6.62,4.62,6.97,15.74,11.43,4.56,9.43,12.63,6.26,4.01
Tax %,19.23,17.31,25.49,21.15,35.5,13.49,15.95,29.66,29.61,24.81,19.87,23.64,31.67
Net Profit,1.89,1.29,3.07,5.21,2.98,6.02,13.23,8.04,3.21,7.09,10.11,4.77,2.73
EPS in Rs,0.09,0.05,0.13,0.22,0.13,0.26,0.56,0.34,0.14,0.3,0.43,0.2,0.12
