,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.39,7.21,8.07,8.92,10.03,61.12,103.55,53.79,30.0,26.07,16.34,12.81,8.43
Expenses,6.76,6.39,6.99,7.36,8.57,55.38,96.36,52.54,27.59,21.9,14.7,13.72,10.84
Operating Profit,0.63,0.82,1.08,1.56,1.46,5.74,7.19,1.25,2.41,4.17,1.64,-0.91,-2.41
OPM %,8.53,11.37,13.38,17.49,14.56,9.39,6.94,2.32,8.03,16.0,10.04,-7.1,-28.59
Other Income,0.13,0.05,0.19,0.03,0.01,0.23,0.7,0.94,0.96,0.58,0.56,2.24,2.20
Interest,0.13,0.1,0.04,0.16,0.23,1.9,1.85,3.36,2.39,2.22,1.86,1.62,1.27
Depreciation,0.25,0.37,0.8,1.05,1.02,0.23,0.32,0.34,0.32,0.37,0.29,0.24,0.22
Profit before tax,0.38,0.4,0.43,0.38,0.22,3.84,5.72,-1.51,0.66,2.16,0.05,-0.53,-1.70
Tax %,36.84,35.0,39.53,15.79,4.55,27.86,29.2,-5.3,27.27,3.7,-20.0,-71.7,
Net Profit,0.24,0.26,0.26,0.32,0.21,2.77,4.04,-1.6,0.48,2.09,0.05,-0.91,-2.09
EPS in Rs,0.07,0.07,0.07,0.09,0.06,0.53,0.77,-0.3,0.09,0.4,0.01,-0.17,-0.40
