,2018-12-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,69.85,69.83,69.63,69.86,65.79,64.95
Public,30.15,30.15,30.37,30.14,34.21,35.05
No. of Shareholders,474.0,335.0,430.0,366.0,516.0,556.0
