,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,51.23,53.09,29.12,61.49,77.26,68.58
Expenses,48.8,50.62,26.33,59.46,74.88,65.80
Operating Profit,2.43,2.47,2.79,2.03,2.38,2.78
OPM %,4.74,4.65,9.58,3.3,3.08,4.05
Other Income,0.01,0.0,0.05,0.0,0.38,0.70
Interest,0.75,0.73,0.58,0.86,1.23,1.25
Depreciation,0.33,0.14,0.15,0.12,0.14,0.17
Profit before tax,1.36,1.6,2.11,1.05,1.39,2.06
Tax %,25.74,24.38,24.17,24.76,26.62,
Net Profit,1.0,1.21,1.59,0.78,1.02,1.50
EPS in Rs,1.2,1.46,1.91,0.94,1.16,1.71
