,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,22.45,31.02,8.46,20.7,23.71,37.99,35.74,41.86,26.72
Expenses,21.43,29.57,7.23,19.14,22.84,36.94,34.73,40.63,25.17
Operating Profit,1.02,1.45,1.23,1.56,0.87,1.05,1.01,1.23,1.55
OPM %,4.54,4.67,14.54,7.54,3.67,2.76,2.83,2.94,5.8
Other Income,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.33,0.37
Interest,0.39,0.34,0.34,0.24,0.25,0.5,0.4,0.7,0.55
Depreciation,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.08,0.09
Profit before tax,0.56,1.04,0.87,1.25,0.56,0.49,0.6,0.78,1.28
Tax %,23.21,25.0,25.29,24.8,26.79,22.45,26.67,26.92,27.34
Net Profit,0.43,0.78,0.65,0.95,0.41,0.37,0.44,0.57,0.93
EPS in Rs,0.52,0.94,0.78,1.14,0.49,0.45,0.5,0.65,1.06
