,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.92,19.18,18.88,26.37,25.83,30.34
Expenses,8.87,18.02,17.06,23.98,22.43,26.59
Operating Profit,1.05,1.16,1.82,2.39,3.4,3.75
OPM %,10.58,6.05,9.64,9.06,13.16,12.36
Other Income,0.51,0.06,0.07,0.24,0.02,0.00
Interest,0.66,1.0,0.79,0.72,0.71,0.74
Depreciation,0.04,0.03,0.04,0.39,0.51,0.82
Profit before tax,0.86,0.19,1.06,1.52,2.2,2.19
Tax %,29.07,31.58,29.25,34.87,25.0,
Net Profit,0.62,0.12,0.75,1.0,1.66,1.47
EPS in Rs,1.61,0.24,1.5,1.78,1.82,1.61
