,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.92,5.0,5.0,5.62,9.11,9.11
Reserves,0.75,1.41,2.44,4.24,11.04,11.24
Borrowings,1.41,2.13,7.71,8.26,7.18,11.37
Other Liabilities,9.57,13.89,14.86,21.76,11.61,4.46
Total Liabilities,15.65,22.43,30.01,39.88,38.94,36.18
Fixed Assets,0.06,0.05,3.56,3.36,5.04,4.79
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,15.59,22.38,26.45,36.52,33.9,31.39
Total Assets,15.65,22.43,30.01,39.88,38.94,36.18
