,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,66.25,66.79,67.13,67.13,68.9,68.9,68.9,68.9
FIIs,0.11,0.33,0.29,0.29,0.0,0.01,0.0,0.0
DIIs,8.28,5.09,5.07,3.48,2.03,2.03,2.03,2.03
Public,25.35,27.79,27.51,29.1,29.06,29.06,29.08,29.05
No. of Shareholders,20471.0,17807.0,17287.0,16883.0,16112.0,20846.0,18667.0,17990.0
