,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,7,7,7,7,7,11,11,11
Reserves,403,398,695,714,751,819,848,738,687,667
Borrowings,115,105,115,100,96,128,94,112,181,207
Other Liabilities,60,67,167,147,175,177,174,183,245,245
Total Liabilities,586,578,985,968,1029,1131,1122,1043,1123,1130
Fixed Assets,464,439,776,753,768,782,748,625,789,778
CWIP,0,0,32,45,64,84,91,96,91,95
Investments,24,26,35,42,43,122,137,177,54,13
Other Assets,98,112,141,129,153,143,146,146,188,243
Total Assets,586,578,985,968,1029,1131,1122,1043,1123,1130
