,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.1,5.0,8.0,11.5,11.5
Reserves,-6.1,-5.47,-3.22,34.13,37.24
Borrowings,6.46,4.53,2.46,3.38,2.93
Other Liabilities,2.93,7.39,6.59,7.49,8.04
Total Liabilities,6.39,11.45,13.83,56.5,59.71
Fixed Assets,0.77,1.18,1.43,3.11,4.32
CWIP,0.0,0.0,0.0,0.23,0.36
Investments,0.0,0.0,0.05,4.04,4.26
Other Assets,5.62,10.27,12.35,49.12,50.77
Total Assets,6.39,11.45,13.83,56.5,59.71
