,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.93,9.62,21.77,31.69,36.45
Expenses,5.2,8.37,19.05,25.42,28.58
Operating Profit,-0.27,1.25,2.72,6.27,7.87
OPM %,-5.48,12.99,12.49,19.79,21.59
Other Income,0.07,0.16,0.6,1.15,1.74
Interest,0.76,0.41,0.13,0.48,0.48
Depreciation,0.12,0.14,0.2,0.36,0.54
Profit before tax,-1.08,0.86,2.99,6.58,8.59
Tax %,25.93,25.58,-32.11,8.51,
Net Profit,-0.8,0.63,3.95,6.01,7.10
EPS in Rs,-2.58,1.26,4.94,5.23,6.17
