,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37
Reserves,0.0,0.01,0.64,0.64,0.61,0.61,0.68,0.86,1.11
Borrowings,0.0,0.0,0.0,0.8200000000000001,0.68,0.36,0.16,0.15,0.19
Other Liabilities,0.03,0.13,0.42,0.19,0.05,0.04,0.08,1.13,1.49
Total Liabilities,11.4,11.51,12.43,13.02,12.71,12.38,12.29,13.51,14.16
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
CWIP,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,8.11,8.22,9.14,9.73,9.42,9.09,8.99,10.21,10.86
Total Assets,11.4,11.51,12.43,13.02,12.71,12.38,12.29,13.51,14.16
