,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.97,30.53,34.45,37.0,47.5,61.46,58.14,34.61,49.48,48.24
Expenses,21.12,29.35,33.02,35.43,45.87,59.0,55.9,32.61,47.46,46.31
Operating Profit,0.85,1.18,1.43,1.57,1.63,2.46,2.24,2.0,2.02,1.93
OPM %,3.87,3.87,4.15,4.24,3.43,4.0,3.85,5.78,4.08,4.00
Other Income,0.02,0.02,0.02,0.07,0.28,0.03,0.04,0.06,0.05,0.06
Interest,0.43,0.7,0.75,0.82,0.7,1.03,0.85,0.82,0.86,0.93
Depreciation,0.27,0.27,0.3,0.28,0.54,0.4,0.42,0.37,0.32,0.30
Profit before tax,0.17,0.23,0.4,0.54,0.67,1.06,1.01,0.87,0.89,0.76
Tax %,17.65,21.74,25.0,25.93,25.37,25.47,32.67,31.03,26.97,
Net Profit,0.14,0.19,0.3,0.4,0.5,0.79,0.68,0.61,0.65,0.58
EPS in Rs,0.61,0.58,0.91,0.43,0.37,0.58,0.5,0.45,0.48,0.43
