,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.25,1.83,1.83,5.19,7.53,13.55,13.55,13.55,13.55,13.55
Reserves,0.11,0.3,0.64,0.42,6.04,0.71,1.39,1.6800000000000002,2.33,2.61
Borrowings,6.71,7.93,10.22,7.39,9.13,8.44,8.69,9.72,10.07,9.79
Other Liabilities,0.89,0.67,0.98,1.44,0.88,1.57,3.29,1.55,1.37,2.43
Total Liabilities,8.96,10.73,13.67,14.44,23.58,24.27,26.92,26.5,27.32,28.38
Fixed Assets,2.38,2.71,2.66,2.74,4.66,3.89,3.5,3.75,3.44,3.31
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.21,0.21,0.43,0.47,0.61,0.0,0.0,0.0,0.0,0.0
Other Assets,6.37,7.81,10.58,11.23,18.31,20.38,23.42,22.75,23.88,25.07
Total Assets,8.96,10.73,13.67,14.44,23.58,24.27,26.92,26.5,27.32,28.38
