,2017-06-01,2017-09-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,17.37,7.21,8.72,12.68,7.91,13.24,10.62,18.26,7.95,11.41
Expenses,0.0,16.59,6.86,8.15,12.01,7.52,12.61,10.06,17.81,7.5,10.94
Operating Profit,0.0,0.78,0.35,0.57,0.67,0.39,0.63,0.56,0.45,0.45,0.47
OPM %,,4.49,4.85,6.54,5.28,4.93,4.76,5.27,2.46,5.66,4.12
Other Income,0.0,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03
Interest,0.0,0.41,0.19,0.23,0.21,0.2,0.19,0.22,0.25,0.23,0.23
Depreciation,0.0,0.14,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07
Profit before tax,0.0,0.26,0.09,0.26,0.38,0.12,0.37,0.27,0.13,0.16,0.2
Tax %,,15.38,33.33,30.77,31.58,33.33,27.03,25.93,23.08,31.25,15.0
Net Profit,0.0,0.21,0.06,0.18,0.26,0.08,0.27,0.2,0.1,0.11,0.17
EPS in Rs,0.0,0.45,0.04,0.13,0.19,0.06,0.2,0.15,0.07,0.08,0.13
