,Mar 2012,Jun 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,69.0,11.0,0,0,1.0,3.0,34.0,48.0,33.0,54.0,60.0,52.0,46
Expenses,73.0,24.0,4,5,14.0,11.0,41.0,58.0,52.0,71.0,94.0,68.0,57
Operating Profit,-4.0,-13.0,-4,-5,-12.0,-8.0,-8.0,-10.0,-19.0,-18.0,-34.0,-16.0,-11
OPM %,-5.0,-117.0,,,-1088.0,-248.0,-22.0,-20.0,-56.0,-33.0,-57.0,-30.0,-24
Other Income,3.0,6.0,0,3,1.0,-0.0,-1.0,0.0,0.0,1.0,1.0,1.0,0
Interest,9.0,1.0,0,4,1.0,3.0,5.0,6.0,6.0,6.0,5.0,3.0,4
Depreciation,10.0,8.0,0,2,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7
Profit before tax,-19.0,-16.0,-4,-8,-16.0,-16.0,-18.0,-20.0,-29.0,-28.0,-45.0,-25.0,-21
Tax %,10.0,5.0,-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-17.0,-15.0,-4,-8,-16.0,-16.0,-18.0,-20.0,-29.0,-28.0,-45.0,-25.0,-21
EPS in Rs,-15.17,-13.22,-3.78,-6.82,-10.33,-9.67,-10.73,-12.03,-16.04,-14.45,-20.65,-11.45,-9.92
