,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,70.03,70.05,72.74,72.74,72.74,72.74,72.74,72.74,72.72,72.74,72.74,72.74
FIIs,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.5,0.5,0.5
Public,29.96,29.94,27.25,27.25,27.25,27.25,27.25,27.26,26.95,26.76,26.77,26.76
No. of Shareholders,6400.0,6400.0,7096.0,8571.0,8166.0,9531.0,9533.0,9650.0,9294.0,9315.0,9393.0,9030.0
