,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,92.0,112.0,115.0,96.0,124.0,172.0,176
Expenses,88.0,106.0,104.0,87.0,114.0,158.0,161
Operating Profit,4.0,6.0,11.0,9.0,11.0,14.0,14
OPM %,5.0,6.0,9.0,10.0,9.0,8.0,8
Other Income,0.0,1.0,-4.0,0.0,0.0,0.0,1
Interest,2.0,3.0,3.0,2.0,2.0,2.0,1
Depreciation,1.0,2.0,3.0,3.0,3.0,3.0,3
Profit before tax,2.0,2.0,1.0,5.0,7.0,10.0,10
Tax %,-11.0,-27.0,69.0,30.0,31.0,28.0,
Net Profit,2.0,3.0,0.0,3.0,5.0,7.0,8
EPS in Rs,3.91,7.09,1.17,8.09,9.57,15.06,16.04
