,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2022-09-01
Promoters,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Public,98.62,98.62,98.62,98.62,98.62,98.62,98.63
No. of Shareholders,2547.0,2547.0,2547.0,2547.0,2347.0,2347.0,2347.0
