,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.07,42.33,57.33,60.80
Expenses,27.2,37.47,49.25,52.44
Operating Profit,2.87,4.86,8.08,8.36
OPM %,9.54,11.48,14.09,13.75
Other Income,0.68,0.54,2.1,2.29
Interest,0.58,0.64,1.05,1.27
Depreciation,1.12,1.07,1.19,1.12
Profit before tax,1.85,3.69,7.94,8.26
Tax %,28.11,24.12,24.69,
Net Profit,1.33,2.81,5.97,6.21
EPS in Rs,1.91,4.04,8.58,8.92
