,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.36,12.11,14.91,14.06,16.26,13.87,16.61
Expenses,10.02,10.51,12.39,11.8,14.57,12.08,13.99
Operating Profit,1.34,1.6,2.52,2.26,1.69,1.79,2.62
OPM %,11.8,13.21,16.9,16.07,10.39,12.91,15.77
Other Income,0.55,0.59,0.37,0.24,0.9,0.87,0.28
Interest,0.17,0.17,0.0,0.29,0.36,0.32,0.3
Depreciation,0.27,0.3,0.3,0.3,0.3,0.26,0.26
Profit before tax,1.45,1.72,2.59,1.91,1.93,2.08,2.34
Tax %,32.41,28.49,25.87,1.57,37.82,25.0,32.48
Net Profit,0.97,1.24,1.93,1.88,1.2,1.56,1.57
EPS in Rs,1.39,1.78,2.77,2.7,1.72,2.24,2.26
