,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,49.71,62.41,84.79,113.44,93.84,86.11,79.03,71.62,58.97,47.2
Expenses,49.17,60.79,81.36,111.14,91.32,85.1,77.95,71.99,59.18,47.31
Operating Profit,0.54,1.62,3.43,2.3,2.52,1.01,1.08,-0.37,-0.21,-0.11
OPM %,1.09,2.6,4.05,2.03,2.69,1.17,1.37,-0.52,-0.36,-0.23
Other Income,0.52,1.11,1.36,2.21,2.18,0.41,0.8,2.96,1.61,1.15
Interest,0.25,0.31,0.31,0.34,0.47,0.35,0.54,0.47,0.22,0.15
Depreciation,0.85,0.82,0.81,0.84,1.05,0.96,1.03,0.96,0.89,0.9
Profit before tax,-0.04,1.6,3.67,3.33,3.18,0.11,0.31,1.16,0.29,-0.01
Tax %,25.0,13.75,28.61,25.83,26.42,90.91,41.94,6.9,37.93,-300.0
Net Profit,-0.03,1.38,2.61,2.48,2.34,0.02,0.19,1.07,0.18,-0.04
EPS in Rs,-0.03,1.2,2.27,2.16,2.03,0.02,0.17,0.93,0.16,-0.03
