,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,97.0,85.0,106.0,100.0,141.0,116.0,145.0,310.0,331.0,257
Expenses,93.0,82.0,99.0,104.0,143.0,112.0,141.0,301.0,326.0,256
Operating Profit,3.0,3.0,7.0,-4.0,-2.0,4.0,4.0,9.0,4.0,0
OPM %,4.0,4.0,6.0,-4.0,-2.0,3.0,3.0,3.0,1.0,0
Other Income,0.0,0.0,0.0,11.0,9.0,4.0,4.0,4.0,6.0,7
Interest,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1
Depreciation,2.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,4
Profit before tax,0.0,1.0,4.0,4.0,6.0,4.0,4.0,8.0,5.0,2
Tax %,25.0,26.0,33.0,49.0,25.0,24.0,34.0,26.0,24.0,
Net Profit,0.0,1.0,3.0,2.0,4.0,3.0,3.0,6.0,4.0,1
EPS in Rs,1.08,7.67,25.0,2.37,3.63,2.77,2.37,5.49,3.14,1.23
