,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,70.0,70.0,70.0,70.0,70.03,70.03
FIIs,0.0,0.0,0.0,0.0,2.85,2.85
Public,30.0,30.0,30.0,30.0,27.12,27.11
No. of Shareholders,215.0,191.0,270.0,315.0,1961.0,2085.0
