,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,39,39,39,39,42,42,42,42,42,42,42,43,44
Reserves,855,848,757,750,837,988,1373,1590,1692,1751,1826,2134,2500
Borrowings,1098,1275,1362,1124,887,774,660,476,505,729,587,842,1035
Other Liabilities,237,256,339,329,296,308,341,680,323,269,999,659,658
Total Liabilities,2229,2418,2497,2242,2062,2112,2416,2788,2562,2791,3454,3678,4236
Fixed Assets,843,926,1221,1228,1180,1174,1178,1170,1475,1468,1546,1515,1538
CWIP,272,319,59,14,31,13,22,133,158,160,77,94,66
Investments,226,112,168,23,53,87,273,179,47,66,113,132,272
Other Assets,887,1061,1048,977,798,838,943,1305,882,1098,1718,1938,2359
Total Assets,2229,2418,2497,2242,2062,2112,2416,2788,2562,2791,3454,3678,4236
