,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.8,1.69,0.7,0.29,0.41,0.52,0.19,1.82,0.61,3.95
Expenses,0.77,1.02,1.06,0.71,0.62,0.48,0.59,1.4,0.9,3.42
Operating Profit,0.03,0.67,-0.36,-0.42,-0.21,0.04,-0.4,0.42,-0.29,0.53
OPM %,3.75,39.64,-51.43,-144.83,-51.22,7.69,-210.53,23.08,-47.54,13.42
Other Income,0.0,0.06,0.07,0.06,-0.32,0.03,0.06,0.03,0.25,0.13
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.09,0.06,0.07,0.06,0.06,0.05,0.05,0.05,0.06,0.02
Profit before tax,-0.06,0.67,-0.36,-0.42,-0.59,0.02,-0.39,0.4,-0.1,0.64
Tax %,33.33,28.36,27.78,0.0,8.47,50.0,0.0,0.0,-20.0,25.0
Net Profit,-0.04,0.48,-0.26,-0.42,-0.54,0.01,-0.39,0.39,-0.11,0.47
EPS in Rs,-0.65,7.83,-4.24,-6.69,-8.81,0.16,-6.36,6.36,-2.12,7.01
