,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,69.83,69.83,69.83,69.83,69.83,69.83,69.83,69.83,69.83,69.83,69.83,69.83
Public,30.17,30.17,30.17,30.17,30.17,30.17,30.17,30.18,30.18,30.18,30.17,30.18
No. of Shareholders,573.0,575.0,613.0,639.0,637.0,682.0,664.0,657.0,658.0,668.0,655.0,667.0
