,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.62,2.37,0.65,29.36,7.07,3.23,1.83,10.58,23.13,1.46,0.9,2.24,2.16
Expenses,3.87,2.76,1.9,23.26,6.71,3.97,2.37,12.33,21.04,1.96,2.58,4.63,4.17
Operating Profit,0.75,-0.39,-1.25,6.1,0.36,-0.74,-0.54,-1.75,2.09,-0.5,-1.68,-2.39,-2.01
OPM %,16.23,-16.46,-192.31,20.78,5.09,-22.91,-29.51,-16.54,9.04,-34.25,-186.67,-106.7,-93.06
Other Income,0.89,1.92,4.09,1.85,1.66,3.18,1.88,3.45,1.06,1.83,3.4,1.86,3.21
Interest,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.00
Depreciation,0.4,0.35,0.29,0.58,0.63,0.57,0.46,0.39,0.6,0.54,0.4,0.17,0.26
Profit before tax,1.22,1.16,2.53,7.36,1.38,1.87,0.88,1.31,2.51,0.77,1.32,-0.7,0.94
Tax %,63.11,15.52,23.32,18.07,34.06,4.28,25.0,7.63,42.63,32.47,6.06,-97.14,
Net Profit,0.45,0.99,1.94,6.04,0.9,1.79,0.66,1.22,1.44,0.53,1.24,-1.38,0.84
EPS in Rs,1.15,2.62,5.46,16.99,2.95,4.64,1.47,3.06,3.66,1.15,3.11,-4.26,1.92
